family,setting,confidence_floor,external_class_aware_nms_iou,per_image_max_detections,operating_confidence_for_PRF1,matching_iou_for_PRF1,retained_predictions,avg_retained_detections_per_image,mAP_50_95,AP50,AP75,AR1,AR10,AR100,TP,FP,FN,precision,recall,F1,scenario,evaluated_images
external_nms,nms_0.45,0.001,0.45,300,0.25,0.5,33330,166.65,0.41484370459793907,0.6277694818344867,0.422820694277892,0.32205404148974603,0.5413949885803512,0.547360397999933,290,225,63,0.5631067961165048,0.8215297450424929,0.6682027649769585,daytime_normal,50
external_nms,nms_0.45,0.001,0.45,300,0.25,0.5,33330,166.65,0.17805539021671424,0.3425752399603105,0.16225005925177635,0.18580461910970386,0.36571587478972467,0.4006156004340024,302,368,289,0.4507462686567164,0.5109983079526227,0.47898493259318004,night_lowlight,50
external_nms,nms_0.45,0.001,0.45,300,0.25,0.5,33330,166.65,0.2170924136265588,0.444804679726712,0.1433193461654184,0.2334447882411408,0.362436677810538,0.38411428288024035,489,398,310,0.5512965050732808,0.6120150187734669,0.5800711743772243,small_distant,50
external_nms,nms_0.55,0.001,0.55,300,0.25,0.5,38225,191.125,0.2827194949410882,0.5105592043520989,0.28205415290425717,0.22699729918061198,0.3943001950341631,0.4324692054306569,755,431,569,0.636593591905565,0.5702416918429003,0.601593625498008,crowded_occluded,50
external_nms,nms_0.55,0.001,0.55,300,0.25,0.5,38225,191.125,0.41726661419801864,0.6279525274649512,0.42362349972775887,0.32205404148974603,0.5750784619697069,0.591719071701972,291,234,62,0.5542857142857143,0.8243626062322946,0.662870159453303,daytime_normal,50
external_nms,nms_0.55,0.001,0.55,300,0.25,0.5,38225,191.125,0.18428662174938587,0.3533975296961418,0.16675971386836738,0.18580461910970386,0.372115709821521,0.41404103362335815,310,398,281,0.4378531073446328,0.5245346869712352,0.4772902232486528,night_lowlight,50
external_nms,nms_0.55,0.001,0.55,300,0.25,0.5,38225,191.125,0.2210476651035321,0.4527686611967243,0.14709809450386457,0.2334447882411408,0.37658386395772414,0.40377708411143065,496,417,303,0.5432639649507119,0.6207759699624531,0.5794392523364487,small_distant,50
external_nms,nms_0.65,0.001,0.65,300,0.25,0.5,42222,211.11,0.2818833878191408,0.5101842196661105,0.2825640064606392,0.22699729918061198,0.3953324244560188,0.4368698550342286,760,455,564,0.6255144032921811,0.5740181268882175,0.5986608901142182,crowded_occluded,50
external_nms,nms_0.65,0.001,0.65,300,0.25,0.5,42222,211.11,0.41565316297158383,0.6194902475522973,0.42437395559521973,0.32205404148974603,0.5755198012961352,0.5943038653093373,291,237,62,0.5511363636363636,0.8243626062322946,0.6606129398410897,daytime_normal,50
external_nms,nms_0.65,0.001,0.65,300,0.25,0.5,42222,211.11,0.18453513248813108,0.3537533006673023,0.16677524149753983,0.18580461910970386,0.36152958488914905,0.422343583239467,314,417,277,0.42954856361149113,0.5313028764805414,0.47503782148260215,night_lowlight,50
external_nms,nms_0.65,0.001,0.65,300,0.25,0.5,42222,211.11,0.222782355849483,0.4538881628995935,0.15667696424787528,0.2334447882411408,0.388131366100971,0.42078557106520637,496,439,303,0.5304812834224599,0.6207759699624531,0.5720876585928489,small_distant,50
